#Observed UV luminosities (including dust) are M_1500 [AB].
#Note: Dust corrections are uncalibrated at z<4, so UV luminosities may be incorrect.
#Number densities are in comoving Mpc^-3 mag^-1.
#UV_Center Number_Density Err+ Err- UV_Min UV_Max
-23.975 8.56027e-18 1.50782e-14 8.55553e-18 -24 -23.95
-23.925 4.38206e-17 5.68439e-14 4.37891e-17 -23.95 -23.9
-23.875 2.10806e-16 2.0147e-13 2.10609e-16 -23.9 -23.85
-23.825 9.53045e-16 6.71412e-13 9.51881e-16 -23.85 -23.8
-23.775 4.04929e-15 2.10424e-12 4.04284e-15 -23.8 -23.75
-23.725 1.61695e-14 6.20344e-12 1.61359e-14 -23.75 -23.7
-23.675 6.06857e-14 1.72081e-11 6.05192e-14 -23.7 -23.65
-23.625 2.14081e-13 4.49331e-11 2.13289e-13 -23.65 -23.6
-23.575 7.09922e-13 1.105e-10 7.06378e-13 -23.6 -23.55
-23.525 2.21329e-12 2.52215e-10 2.19837e-12 -23.55 -23.5
-23.475 6.48831e-12 5.39765e-10 6.43078e-12 -23.5 -23.45
-23.425 1.78893e-11 1.08538e-09 1.76858e-11 -23.45 -23.4
-23.375 4.64045e-11 2.17212e-09 4.57275e-11 -23.4 -23.35
-23.325 1.13298e-10 4.17874e-09 1.11181e-10 -23.35 -23.3
-23.275 2.60518e-10 7.33762e-09 2.54295e-10 -23.3 -23.25
-23.225 5.6463e-10 1.28165e-08 5.46299e-10 -23.25 -23.2
-23.175 1.15475e-09 2.14e-08 1.10312e-09 -23.2 -23.15
-23.125 2.23185e-09 3.37122e-08 2.09467e-09 -23.15 -23.1
-23.075 4.08487e-09 5.18854e-08 3.75584e-09 -23.1 -23.05
-23.025 7.09892e-09 7.66368e-08 6.39129e-09 -23.05 -23
-22.975 1.17546e-08 1.03008e-07 1.03153e-08 -23 -22.95
-22.925 1.8625e-08 1.32148e-07 1.58299e-08 -22.95 -22.9
-22.875 2.8386e-08 1.76203e-07 2.30252e-08 -22.9 -22.85
-22.825 4.18568e-08 2.22268e-07 3.20991e-08 -22.85 -22.8
-22.775 6.00811e-08 2.77965e-07 4.24878e-08 -22.8 -22.75
-22.725 8.44425e-08 3.3351e-07 5.58653e-08 -22.75 -22.7
-22.675 1.16788e-07 3.96484e-07 7.20397e-08 -22.7 -22.65
-22.625 1.59533e-07 4.74198e-07 8.9455e-08 -22.65 -22.6
-22.575 2.1574e-07 5.44376e-07 1.04236e-07 -22.6 -22.55
-22.525 2.89174e-07 5.85027e-07 1.27051e-07 -22.55 -22.5
-22.475 3.84363e-07 6.48293e-07 1.55358e-07 -22.5 -22.45
-22.425 5.06663e-07 7.23989e-07 1.86164e-07 -22.45 -22.4
-22.375 6.62332e-07 7.93249e-07 2.45601e-07 -22.4 -22.35
-22.325 8.58585e-07 8.93147e-07 3.25813e-07 -22.35 -22.3
-22.275 1.10365e-06 9.82641e-07 4.06263e-07 -22.3 -22.25
-22.225 1.40686e-06 1.09342e-06 5.01316e-07 -22.25 -22.2
-22.175 1.77882e-06 1.25239e-06 6.16583e-07 -22.2 -22.15
-22.125 2.23141e-06 1.38704e-06 7.84742e-07 -22.15 -22.1
-22.075 2.77764e-06 1.57841e-06 9.56386e-07 -22.1 -22.05
-22.025 3.43074e-06 1.70835e-06 1.13983e-06 -22.05 -22
-21.975 4.20283e-06 1.85995e-06 1.36296e-06 -22 -21.95
-21.925 5.103e-06 2.00645e-06 1.60124e-06 -21.95 -21.9
-21.875 6.13578e-06 2.16309e-06 1.79497e-06 -21.9 -21.85
-21.825 7.30043e-06 2.27907e-06 2.0517e-06 -21.85 -21.8
-21.775 8.5917e-06 2.53087e-06 2.19248e-06 -21.8 -21.75
-21.725 1.00021e-05 2.72565e-06 2.31532e-06 -21.75 -21.7
-21.675 1.1525e-05 2.82943e-06 2.42188e-06 -21.7 -21.65
-21.625 1.31582e-05 2.95612e-06 2.52912e-06 -21.65 -21.6
-21.575 1.4907e-05 3.2228e-06 2.58112e-06 -21.6 -21.55
-21.525 1.67861e-05 3.47186e-06 2.61947e-06 -21.55 -21.5
-21.475 1.88213e-05 3.78293e-06 2.68387e-06 -21.5 -21.45
-21.425 2.10487e-05 4.03552e-06 2.78344e-06 -21.45 -21.4
-21.375 2.35129e-05 4.39543e-06 3.20619e-06 -21.4 -21.35
-21.325 2.62628e-05 4.99537e-06 3.39614e-06 -21.35 -21.3
-21.275 2.93451e-05 5.47105e-06 3.80644e-06 -21.3 -21.25
-21.225 3.27977e-05 5.84369e-06 4.10445e-06 -21.25 -21.2
-21.175 3.66435e-05 6.19837e-06 4.73692e-06 -21.2 -21.15
-21.125 4.08884e-05 6.5881e-06 5.30755e-06 -21.15 -21.1
-21.075 4.5523e-05 6.78006e-06 6.00074e-06 -21.1 -21.05
-21.025 5.05307e-05 7.11682e-06 6.46918e-06 -21.05 -21
-20.975 5.58975e-05 7.62875e-06 7.02365e-06 -21 -20.95
-20.925 6.16224e-05 8.05126e-06 7.62637e-06 -20.95 -20.9
-20.875 6.7724e-05 8.32866e-06 8.48944e-06 -20.9 -20.85
-20.825 7.4243e-05 8.7945e-06 9.09493e-06 -20.85 -20.8
-20.775 8.12369e-05 9.72103e-06 1.00034e-05 -20.8 -20.75
-20.725 8.87717e-05 1.08329e-05 1.09643e-05 -20.75 -20.7
-20.675 9.69109e-05 1.20271e-05 1.20314e-05 -20.7 -20.65
-20.625 0.000105706 1.34705e-05 1.27014e-05 -20.65 -20.6
-20.575 0.000115189 1.4817e-05 1.37434e-05 -20.6 -20.55
-20.525 0.000125379 1.62145e-05 1.50021e-05 -20.55 -20.5
-20.475 0.00013628 1.75698e-05 1.66405e-05 -20.5 -20.45
-20.425 0.000147899 1.81121e-05 1.82714e-05 -20.45 -20.4
-20.375 0.000160248 2.00645e-05 1.99072e-05 -20.4 -20.35
-20.325 0.000173355 2.12643e-05 2.198e-05 -20.35 -20.3
-20.275 0.000187257 2.32387e-05 2.38705e-05 -20.3 -20.25
-20.225 0.000201993 2.5635e-05 2.54707e-05 -20.25 -20.2
-20.175 0.000217596 2.7915e-05 2.72802e-05 -20.2 -20.15
-20.125 0.000234085 3.01339e-05 2.90358e-05 -20.15 -20.1
-20.075 0.000251469 3.27601e-05 3.03434e-05 -20.1 -20.05
-20.025 0.000269752 3.58004e-05 3.30542e-05 -20.05 -20
-19.975 0.000288946 3.84486e-05 3.49091e-05 -20 -19.95
-19.925 0.000309079 4.13153e-05 3.73362e-05 -19.95 -19.9
-19.875 0.000330203 4.55152e-05 4.07998e-05 -19.9 -19.85
-19.825 0.000352385 4.89603e-05 4.40053e-05 -19.85 -19.8
-19.775 0.000375695 5.32151e-05 4.76486e-05 -19.8 -19.75
-19.725 0.000400191 5.7346e-05 5.10999e-05 -19.75 -19.7
-19.675 0.000425905 6.34406e-05 5.57387e-05 -19.7 -19.65
-19.625 0.000452834 6.99036e-05 5.99381e-05 -19.65 -19.6
-19.575 0.00048095 7.46838e-05 6.30596e-05 -19.6 -19.55
-19.525 0.000510218 8.27593e-05 6.63008e-05 -19.55 -19.5
-19.475 0.000540625 8.93467e-05 7.03203e-05 -19.5 -19.45
-19.425 0.000572204 9.74991e-05 7.52672e-05 -19.45 -19.4
-19.375 0.00060506 0.000107403 8.15734e-05 -19.4 -19.35
-19.325 0.000639358 0.000117256 8.66379e-05 -19.35 -19.3
-19.275 0.000675315 0.000126298 9.279e-05 -19.3 -19.25
-19.225 0.000713157 0.000134954 9.95907e-05 -19.25 -19.2
-19.175 0.000753096 0.000147125 0.000106531 -19.2 -19.15
-19.125 0.000795304 0.000161619 0.000114888 -19.15 -19.1
-19.075 0.000839908 0.000177233 0.000123331 -19.1 -19.05
-19.025 0.000887 0.00019389 0.000132265 -19.05 -19
-18.975 0.000936636 0.000210283 0.000141662 -19 -18.95
-18.925 0.000988845 0.00022405 0.000149134 -18.95 -18.9
-18.875 0.00104361 0.000239285 0.000157212 -18.9 -18.85
-18.825 0.00110088 0.000261695 0.000167403 -18.85 -18.8
-18.775 0.00116054 0.000282868 0.000177548 -18.8 -18.75
-18.725 0.00122249 0.000301673 0.000188658 -18.75 -18.7
-18.675 0.00128666 0.000328276 0.000203794 -18.7 -18.65
-18.625 0.00135306 0.000356272 0.000214668 -18.65 -18.6
-18.575 0.0014218 0.000382827 0.000225989 -18.6 -18.55
-18.525 0.00149313 0.000407911 0.000238042 -18.55 -18.5
-18.475 0.00156738 0.000438992 0.000250018 -18.5 -18.45
-18.425 0.00164492 0.000476865 0.0002654 -18.45 -18.4
-18.375 0.00172612 0.000511246 0.000278356 -18.4 -18.35
-18.325 0.00181134 0.000544275 0.000291838 -18.35 -18.3
-18.275 0.0019009 0.000580551 0.000308245 -18.3 -18.25
-18.225 0.00199513 0.000626055 0.000325859 -18.25 -18.2
-18.175 0.0020943 0.000674032 0.000344722 -18.2 -18.15
