# log M
# log Phi
7.77370 -1.33917
7.85851 -1.41790
7.94810 -1.50750
8.02440 -1.56301
8.09226 -1.65105
8.18408 -1.72155
8.27589 -1.79127
8.37569 -1.84895
8.47949 -1.92933
8.57130 -1.99985
8.76691 -2.17042
8.85473 -2.25026
8.93058 -2.31722
8.99046 -2.44224
9.07688 -2.49463
9.14720 -2.56336
9.22253 -2.61515
9.26705 -2.68277
9.32579 -2.76313
9.39499 -2.83551
9.46551 -2.90354
9.53842 -2.99470
9.61544 -3.03290
9.69183 -3.07186
9.78088 -3.08169
9.87423 -3.10625
9.94905 -3.14955
10.00394 -3.21542
10.07679 -3.25684
10.12762 -3.32862
10.19464 -3.40340
10.25886 -3.49340
10.31581 -3.58041
10.35573 -3.68803
10.40364 -3.78304
10.44356 -3.87583
10.48658 -3.96703
10.53937 -3.98122
10.59525 -4.16010

