#LogMass LogPhi(z=4) LogPhi(z=5) LogPhi(z=6) LogPhi(z=7) LogPhi(z=8) LogPhi(z=9) LogPhi(z=10) 
5.000000 -0.562970 -0.514494 -0.511656 -0.529752 -0.568781 -0.798746 -1.049648
5.100000 -0.604719 -0.564737 -0.568841 -0.593878 -0.639850 -0.876759 -1.134607
5.200000 -0.646469 -0.614981 -0.626027 -0.658006 -0.710922 -0.954775 -1.219570
5.300000 -0.688219 -0.665226 -0.683214 -0.722137 -0.781996 -1.032796 -1.304539
5.400000 -0.729970 -0.715473 -0.740403 -0.786269 -0.853075 -1.110822 -1.389515
5.500000 -0.771723 -0.765721 -0.797594 -0.850406 -0.924158 -1.188854 -1.474501
5.600000 -0.813477 -0.815971 -0.854789 -0.914546 -0.995246 -1.266895 -1.559499
5.700000 -0.855233 -0.866224 -0.911987 -0.978692 -1.066343 -1.344946 -1.644512
5.800000 -0.896991 -0.916480 -0.969190 -1.042844 -1.137449 -1.423011 -1.729543
5.900000 -0.938752 -0.966740 -1.026399 -1.107005 -1.208566 -1.501093 -1.814599
6.000000 -0.980517 -1.017006 -1.083615 -1.171176 -1.279699 -1.579195 -1.899684
6.100000 -1.022287 -1.067278 -1.140840 -1.235361 -1.350850 -1.657325 -1.984807
6.200000 -1.064062 -1.117559 -1.198078 -1.299562 -1.422025 -1.735487 -2.069977
6.300000 -1.105845 -1.167850 -1.255330 -1.363784 -1.493230 -1.813692 -2.155207
6.400000 -1.147638 -1.218154 -1.312601 -1.428033 -1.564472 -1.891950 -2.240512
6.500000 -1.189442 -1.268475 -1.369896 -1.492315 -1.635761 -1.970275 -2.325911
6.600000 -1.231261 -1.318817 -1.427220 -1.556639 -1.707110 -2.048683 -2.411429
6.700000 -1.273098 -1.369185 -1.484581 -1.621016 -1.778534 -2.127198 -2.497097
6.800000 -1.314959 -1.419587 -1.541990 -1.685459 -1.850051 -2.205845 -2.582954
6.900000 -1.356850 -1.470030 -1.599458 -1.749987 -1.921688 -2.284661 -2.669048
7.000000 -1.398777 -1.520526 -1.657000 -1.814619 -1.993473 -2.363687 -2.755441
7.100000 -1.440752 -1.571088 -1.714636 -1.879384 -2.065446 -2.442980 -2.842209
7.200000 -1.482785 -1.621734 -1.772390 -1.944317 -2.137656 -2.522606 -2.929452
7.300000 -1.524893 -1.672485 -1.830293 -2.009459 -2.210163 -2.602655 -3.017290
7.400000 -1.567094 -1.723368 -1.888382 -2.074867 -2.283045 -2.683233 -3.105879
7.500000 -1.609413 -1.774417 -1.946708 -2.140608 -2.356399 -2.764479 -3.195413
7.600000 -1.651880 -1.825676 -2.005330 -2.206769 -2.430347 -2.846566 -3.286136
7.700000 -1.694533 -1.877199 -2.064325 -2.273458 -2.505042 -2.929710 -3.378356
7.800000 -1.737421 -1.929054 -2.123791 -2.340812 -2.580679 -3.014187 -3.472462
7.900000 -1.780605 -1.981327 -2.183848 -2.409003 -2.657501 -3.100341 -3.568940
8.000000 -1.824160 -2.034126 -2.244650 -2.478249 -2.735814 -3.188606 -3.668407
8.100000 -1.868184 -2.087589 -2.306390 -2.548822 -2.816006 -3.279529 -3.771634
8.200000 -1.912797 -2.141885 -2.369310 -2.621066 -2.898563 -3.373798 -3.879597
8.300000 -1.958153 -2.197232 -2.433717 -2.695413 -2.984096 -3.472279 -3.993521
8.400000 -2.004442 -2.253901 -2.499996 -2.772408 -3.073376 -3.576064 -4.114950
8.500000 -2.051909 -2.312235 -2.568630 -2.852737 -3.167374 -3.686524 -4.245827
8.600000 -2.100855 -2.372665 -2.640229 -2.937263 -3.267312 -3.805390 -4.388598
8.700000 -2.151666 -2.435733 -2.715563 -3.027073 -3.374726 -3.934837 -4.546342
8.800000 -2.204824 -2.502122 -2.795597 -3.123535 -3.491554 -4.077605 -4.722938
8.900000 -2.260936 -2.572693 -2.881548 -3.228370 -3.620232 -4.237143 -4.923265
9.000000 -2.320768 -2.648528 -2.974949 -3.343748 -3.763829 -4.417793 -5.153470
9.100000 -2.385281 -2.730991 -3.077728 -3.472397 -3.926207 -4.625021 -5.421287
9.200000 -2.455689 -2.821796 -3.192314 -3.617755 -4.112231 -4.865711 -5.736455
9.300000 -2.533515 -2.923105 -3.321765 -3.784148 -4.328021 -5.148524 -6.111235
9.400000 -2.620680 -3.037637 -3.469927 -3.977021 -4.581285 -5.484369 -6.561063
9.500000 -2.719600 -3.168816 -3.641648 -4.203232 -4.881727 -5.886977 -7.105369
9.600000 -2.833313 -3.320951 -3.843026 -4.471413 -5.241562 -6.373634 -7.768617
9.700000 -2.965637 -3.499468 -4.081740 -4.792430 -5.676167 -6.966103 -8.581603
9.800000 -3.121367 -3.711196 -4.367458 -5.179964 -6.204904 -7.691781 -9.583099
9.900000 -3.306498 -3.964727 -4.712350 -5.651238 -6.852145 -8.585159 -10.821915
10.000000 -3.528476 -4.270864 -5.131737 -6.227935 -7.648574 -9.689659 -12.359498
10.100000 -3.796336 -4.643146 -5.644898 -6.937350 -8.632820 -11.059946 -14.273208
10.200000 -4.120289 -5.098306 -6.276065 -7.813843 -9.853511 -12.764839 -16.660432
10.300000 -4.508551 -5.655566 -7.055285 -8.900557 -11.371829 -14.890911 -19.643118
10.400000 -4.951558 -6.325219 -8.013772 -10.247895 -13.259694 -17.501834 -22.188489
10.500000 -5.365796 -7.010902 -9.064425 -11.707533 -14.910610 -18.298338 -21.984457
10.600000 -5.581667 -7.318393 -9.448236 -11.959764 -14.842878 -18.110593 -21.766281
10.700000 -5.620948 -7.313118 -9.389233 -11.851759 -14.702082 -17.940450 -21.566871
10.800000 -5.628411 -7.285800 -9.330787 -11.763783 -14.584832 -17.793932 -21.391084
10.900000 -5.658496 -7.286138 -9.301814 -11.705542 -14.497322 -17.677154 -21.245038
11.000000 -5.725519 -7.323875 -9.310282 -11.684742 -14.447253 -17.597817 -21.136433
11.100000 -5.839659 -7.408746 -9.365885 -11.711077 -14.444320 -17.565616 -21.074964
11.200000 -6.013139 -7.552958 -9.480829 -11.796752 -14.500728 -17.592755 -21.072835
11.300000 -6.261324 -7.771875 -9.670478 -11.957133 -14.631840 -17.694599 -21.145411
11.400000 -6.603558 -8.084840 -9.954175 -12.211562 -14.857001 -17.890492 -21.312035
11.500000 -7.064190 -8.516204 -10.356271 -12.584390 -15.200560 -18.204783 -21.597058
11.600000 -7.673879 -9.096625 -10.907423 -13.106274 -15.693176 -18.668131 -22.031138
11.700000 -8.471218 -9.864696 -11.646226 -13.815808 -16.373442 -19.319129 -22.652868
11.800000 -9.504795 -10.869004 -12.621266 -14.761580 -17.289947 -20.206365 -23.510836
11.900000 -10.835777 -12.170719 -13.893713 -16.004759 -18.503857 -21.391007 -24.666209
