# Lline LF16 LF84
40.500 -0.725 0.811
40.540 -0.766 0.748
40.581 -0.807 0.687
40.621 -0.848 0.624
40.662 -0.886 0.561
40.702 -0.925 0.501
40.742 -0.965 0.440
40.783 -1.002 0.380
40.823 -1.041 0.314
40.864 -1.081 0.253
40.904 -1.121 0.190
40.944 -1.160 0.129
40.985 -1.197 0.067
41.025 -1.235 0.005
41.066 -1.271 -0.058
41.106 -1.308 -0.120
41.146 -1.346 -0.183
41.187 -1.386 -0.246
41.227 -1.425 -0.309
41.268 -1.464 -0.370
41.308 -1.504 -0.432
41.348 -1.544 -0.494
41.389 -1.584 -0.557
41.429 -1.623 -0.620
41.470 -1.659 -0.681
41.510 -1.701 -0.742
41.551 -1.741 -0.803
41.591 -1.778 -0.865
41.631 -1.817 -0.926
41.672 -1.854 -0.989
41.712 -1.893 -1.052
41.753 -1.932 -1.116
41.793 -1.972 -1.178
41.833 -2.012 -1.243
41.874 -2.049 -1.305
41.914 -2.091 -1.366
41.955 -2.132 -1.427
41.995 -2.173 -1.491
42.035 -2.214 -1.555
42.076 -2.257 -1.619
42.116 -2.299 -1.684
42.157 -2.342 -1.747
42.197 -2.385 -1.813
42.237 -2.427 -1.879
42.278 -2.473 -1.941
42.318 -2.516 -2.005
42.359 -2.561 -2.069
42.399 -2.604 -2.133
42.439 -2.649 -2.198
42.480 -2.697 -2.259
42.520 -2.743 -2.321
42.561 -2.791 -2.386
42.601 -2.840 -2.451
42.641 -2.891 -2.516
42.682 -2.942 -2.583
42.722 -2.993 -2.648
42.763 -3.046 -2.715
42.803 -3.099 -2.782
42.843 -3.154 -2.849
42.884 -3.211 -2.915
42.924 -3.268 -2.981
42.965 -3.326 -3.047
43.005 -3.388 -3.119
43.045 -3.451 -3.191
43.086 -3.517 -3.262
43.126 -3.586 -3.335
43.167 -3.660 -3.409
43.207 -3.735 -3.484
43.247 -3.814 -3.563
43.288 -3.902 -3.639
43.328 -3.989 -3.718
43.369 -4.079 -3.798
43.409 -4.176 -3.882
43.449 -4.279 -3.968
43.490 -4.389 -4.055
43.530 -4.505 -4.145
43.571 -4.625 -4.238
43.611 -4.753 -4.337
43.652 -4.889 -4.434
43.692 -5.036 -4.538
43.732 -5.204 -4.643
43.773 -5.367 -4.756
43.813 -5.547 -4.874
43.854 -5.735 -4.996
43.894 -5.950 -5.130
43.934 -6.167 -5.266
43.975 -6.414 -5.404
44.015 -6.684 -5.554
44.056 -6.974 -5.712
44.096 -7.285 -5.884
44.136 -7.620 -6.067
44.177 -7.987 -6.262
44.217 -8.393 -6.472
44.258 -8.830 -6.687
44.298 -9.301 -6.924
44.338 -9.835 -7.175
44.379 -10.400 -7.454
44.419 -11.025 -7.736
44.460 -11.679 -8.062
44.500 -12.392 -8.402
