#ID color color_uppErr color_lowErr
COS-83688 -0.95 0.43 0.58
COS-87259 0.01 0.06 0.06
COS-237729 -0.37 0.36 0.40
COS-312533 -0.29 0.30 0.32
COS-400019 -1.02 0.79 1.75
COS-469110 -0.37 0.20 0.21
COS-505871 -0.11 0.19 0.20
COS-627785 -0.83 0.32 0.40
COS-703599 -0.47 0.25 0.26
COS-705154 -0.93 0.50 0.74
COS-759861 -0.39 0.17 0.18
COS-788571 -1.02 0.31 0.38
COS-857605 -0.32 0.22 0.24
COS-862541 -1.33 0.26 0.32
COS-955126 -1.46 0.67 1.42
COS-1099982 -1.16 0.16 0.19
COS-1136216 -0.43 0.21 0.22
COS-1224137 -0.27 0.14 0.15
COS-1235751 -0.16 0.24 0.23
XMM1-88011 -0.15 0.36 0.42
GN-2781 0.16 0.50 0.49
GN-3751 0.53 0.22 0.21
GN-8480 0.08 0.36 0.38
GN-18892 0.38 0.68 0.57
GN-19314 -0.73 0.35 0.45
GN-22985 0.31 0.19 0.19
GN-23420 -0.51 0.31 0.36
GN-26244 -0.62 0.31 0.39
GN-28450 0.04 0.11 0.11
GN-29429 -0.16 0.11 0.12
GN-30721 -0.65 0.15 0.16
GN-33116 2.22 0.63 0.40
GN-33483 0.03 0.24 0.23
GN-47978 -0.31 0.35 0.42
GN-55562 -0.93 0.34 0.44
GN-59366 -0.55 0.30 0.36
GN-61505 -0.00 0.39 0.42
GN-61545 -0.79 0.28 0.34
GN-63360 -0.12 0.31 0.33
GN-63408 0.83 0.14 0.13
GN-64262 -0.35 0.20 0.21
GN-66168 -0.26 0.06 0.06
GN-67013 0.47 0.61 0.48
GS-897 0.84 0.58 0.42
GS-1656 0.01 0.21 0.21
GS-4218 -0.00 0.31 0.34
GS-9100 -0.80 0.21 0.25
GS-27471 -0.97 0.27 0.34
GS-28517 -0.32 0.28 0.29
GS-36090 -0.05 0.21 0.24
GS-42630 0.31 0.39 0.39
