id redshift_q50 redshift_q16 redshift_q84 AV_q50 AV_q16 AV_q84 log_stellar_mass_q50 log_stellar_mass_q16 log_stellar_mass_q84 log_sfr_10_q50 log_sfr_10_q16 log_sfr_10_q84 log_ssfr_10_q50 log_ssfr_10_q16 log_ssfr_10_q84 log_sfr_50_q50 log_sfr_50_q16 log_sfr_50_q84 log_ssfr_50_q50 log_ssfr_50_q16 log_ssfr_50_q84 log_sfr_100_q50 log_sfr_100_q16 log_sfr_100_q84 log_ssfr_100_q50 log_ssfr_100_q16 log_ssfr_100_q84 dust2_q50 dust2_q16 dust2_q84 dust_index_q50 dust_index_q16 dust_index_q84 dust1_fraction_q50 dust1_fraction_q16 dust1_fraction_q84 time_50_q50 time_50_q16 time_50_q84 logzsol_q50 logzsol_q16 logzsol_q84 mag_1500_q50 mag_1500_q16 mag_1500_q84 mag_1500_intrinsic_q50 mag_1500_intrinsic_q16 mag_1500_intrinsic_q84 log_nion_q50 log_nion_q16 log_nion_q84 log_xion_q50 log_xion_q16 log_xion_q84
EGS_68560 8.861 8.677 9.113 0.118 0.029 0.352 9.117 8.814 9.376 -0.058 -2.059 1.003 -9.272 -11.315 -7.889 1.424 1.118 1.661 -7.658 -7.771 -7.637 1.16 0.838 1.429 -7.942 -7.981 -7.925 0.091 0.024 0.267 0.077 -0.31 0.305 1.034 0.781 1.279 0.023 0.013 0.038 -1.641 -1.884 -1.334 -21.451 -21.535 -21.365 -21.727 -22.109 -21.495 53.856 53.001 54.672 24.448 23.604 25.336
UDS_18697 9.524 9.43 9.628 0.93 0.166 1.494 11.172 10.895 11.435 -2.238 -6.197 0.185 -13.455 -17.277 -11.001 -0.25 -2.683 1.182 -11.383 -13.863 -9.948 0.877 -0.904 1.79 -10.273 -12.08 -9.352 0.786 0.169 1.379 0.305 0.135 0.371 1.007 0.754 1.257 0.262 0.202 0.281 -1.144 -1.352 -0.148 -22.164 -22.238 -22.089 -23.715 -24.622 -22.543 52.762 52.317 53.732 22.499 22.387 23.649
EGS_26890 8.876 8.636 9.204 0.206 0.045 0.718 9.597 9.194 9.921 0.287 -2.285 1.414 -9.358 -12.012 -7.894 1.573 0.851 2.009 -7.776 -8.663 -7.651 1.504 1.05 1.841 -7.971 -8.231 -7.928 0.238 0.059 0.682 -0.082 -0.552 0.278 1.021 0.788 1.242 0.042 0.016 0.105 -1.003 -1.589 -0.408 -21.214 -21.316 -21.106 -22.094 -22.957 -21.525 53.945 52.344 54.99 24.336 22.871 25.413
EGS_6811 8.678 0.0 0.0 0.461 0.153 1.085 10.475 10.078 10.763 1.638 -0.646 2.288 -8.884 -11.337 -7.834 1.998 1.043 2.673 -8.458 -9.471 -7.663 2.146 1.364 2.591 -8.211 -8.864 -7.938 0.483 0.106 0.983 0.077 -0.654 0.299 1.109 0.884 1.35 0.104 0.027 0.24 -0.436 -0.907 -0.116 -22.092 -22.152 -22.022 -23.647 -24.534 -22.868 55.081 53.127 55.721 25.1 23.034 25.448
GOODSN_35589 10.957 0.0 0.0 0.162 0.052 0.313 8.782 8.523 9.19 1.398 1.224 1.566 -7.324 -7.988 -7.032 0.997 0.807 1.277 -7.684 -8.011 -7.66 0.718 0.526 1.029 -7.98 -8.257 -7.952 0.06 0.021 0.139 -0.018 -0.479 0.243 0.9 0.631 1.192 0.011 0.006 0.109 -1.28 -1.772 -0.664 -21.659 -21.779 -21.567 -21.903 -22.274 -21.638 54.981 54.757 55.199 25.601 25.386 25.729
EGS_44164 8.661 0.0 0.0 0.492 0.234 1.108 10.125 9.816 10.37 0.247 -2.443 1.767 -9.894 -12.662 -8.215 1.977 1.05 2.386 -8.047 -9.169 -7.656 1.99 1.635 2.271 -7.971 -8.418 -7.927 0.5 0.221 0.993 0.206 -0.031 0.337 1.017 0.759 1.281 0.061 0.019 0.148 -1.035 -1.584 -0.473 -21.869 -21.918 -21.815 -23.115 -24.089 -22.453 53.944 52.401 55.351 24.04 22.615 25.169
EGS_26816 9.319 8.979 9.649 0.483 0.201 1.052 9.572 9.085 10.037 0.829 -1.713 1.774 -8.76 -11.434 -7.441 1.488 0.909 1.973 -7.733 -8.923 -7.645 1.47 1.016 1.905 -7.968 -8.239 -7.933 0.292 0.116 0.695 -0.074 -0.479 0.258 0.992 0.697 1.248 0.029 0.012 0.109 -1.153 -1.741 -0.4 -21.266 -21.398 -21.12 -22.535 -23.304 -21.81 54.453 52.897 55.316 24.794 23.267 25.514
EGS_40898 8.499 7.961 8.852 0.528 0.193 0.947 9.893 9.35 10.216 0.78 -1.945 1.784 -9.199 -12.158 -7.597 1.38 0.153 2.038 -8.219 -9.943 -7.666 1.438 0.725 1.92 -8.08 -9.273 -7.94 0.453 0.199 0.941 0.055 -0.268 0.257 0.981 0.714 1.253 0.074 0.016 0.257 -0.953 -1.58 -0.316 -20.702 -20.858 -20.485 -22.394 -23.444 -21.46 54.314 52.301 55.331 24.739 22.785 25.507
COSMOS_20646 9.746 9.496 9.949 0.6 0.26 1.411 10.834 10.647 11.052 1.705 -3.492 2.743 -9.269 -14.31 -7.926 2.016 0.94 2.679 -8.76 -9.949 -8.007 2.493 2.13 2.816 -8.301 -8.725 -7.96 0.437 0.253 0.808 -0.382 -0.731 -0.085 0.916 0.715 1.16 0.111 0.062 0.209 -0.56 -1.485 -0.074 -22.117 -22.203 -22.001 -24.646 -25.506 -23.932 55.256 52.61 56.169 24.711 22.374 25.479
COSMOS_47074 9.62 9.335 10.043 0.355 0.122 0.963 9.239 8.709 9.582 0.738 -1.586 1.376 -8.558 -11.002 -7.366 1.359 0.783 1.754 -7.692 -8.152 -7.644 1.221 0.631 1.575 -7.965 -8.158 -7.93 0.224 0.071 0.561 0.099 -0.22 0.302 0.959 0.703 1.197 0.027 0.011 0.083 -0.823 -1.515 -0.302 -20.98 -21.088 -20.859 -21.744 -22.344 -21.243 54.273 52.723 54.895 24.869 23.346 25.538
EGS_20381 8.383 7.862 8.71 0.472 0.168 0.871 9.935 9.412 10.275 0.73 -2.41 1.844 -9.278 -12.589 -7.604 1.6 0.725 2.12 -8.048 -9.46 -7.667 1.668 1.031 2.087 -8.004 -8.719 -7.938 0.42 0.16 0.895 -0.02 -0.454 0.237 0.956 0.705 1.198 0.063 0.017 0.183 -0.915 -1.596 -0.216 -21.081 -21.22 -20.881 -22.698 -23.525 -21.835 54.261 52.273 55.394 24.537 22.662 25.482
