id redshift_q50 redshift_q16 redshift_q84 AV_q50 AV_q16 AV_q84 log_stellar_mass_q50 log_stellar_mass_q16 log_stellar_mass_q84 log_sfr_10_q50 log_sfr_10_q16 log_sfr_10_q84 log_ssfr_10_q50 log_ssfr_10_q16 log_ssfr_10_q84 log_sfr_50_q50 log_sfr_50_q16 log_sfr_50_q84 log_ssfr_50_q50 log_ssfr_50_q16 log_ssfr_50_q84 log_sfr_100_q50 log_sfr_100_q16 log_sfr_100_q84 log_ssfr_100_q50 log_ssfr_100_q16 log_ssfr_100_q84 dust2_q50 dust2_q16 dust2_q84 dust_index_q50 dust_index_q16 dust_index_q84 dust1_fraction_q50 dust1_fraction_q16 dust1_fraction_q84 time_50_q50 time_50_q16 time_50_q84 logzsol_q50 logzsol_q16 logzsol_q84 mag_1500_q50 mag_1500_q16 mag_1500_q84 mag_1500_intrinsic_q50 mag_1500_intrinsic_q16 mag_1500_intrinsic_q84 log_nion_q50 log_nion_q16 log_nion_q84 log_xion_q50 log_xion_q16 log_xion_q84
EGS_68560 9.165 8.922 9.442 0.058 0.013 0.188 9.137 8.85 9.38 1.106 0.853 1.268 -8.02 -8.521 -7.631 1.042 0.877 1.268 -8.046 -8.267 -7.822 0.953 0.709 1.188 -8.153 -8.318 -8.008 0.039 0.012 0.106 -0.02 -0.461 0.257 0.952 0.676 1.209 0.08 0.032 0.153 -1.535 -1.851 -1.081 -21.471 -21.559 -21.377 -21.564 -21.804 -21.387 54.731 54.513 54.888 25.463 25.223 25.594
EGS_20381 8.512 8.022 8.838 0.571 0.303 1.084 10.049 9.685 10.359 1.524 0.929 1.944 -8.477 -9.223 -7.965 1.543 1.193 1.928 -8.438 -8.826 -8.055 1.54 1.201 1.924 -8.434 -8.759 -8.165 0.424 0.185 0.884 0.086 -0.314 0.299 0.997 0.711 1.26 0.183 0.088 0.254 -0.982 -1.607 -0.32 -21.119 -21.254 -20.936 -22.718 -23.592 -22.02 55.042 54.466 55.502 25.326 24.94 25.497
UDS_18697 9.535 9.435 9.629 0.546 0.139 1.452 11.003 10.836 11.371 1.026 0.181 1.715 -9.967 -10.826 -9.456 1.657 1.065 2.27 -9.362 -9.88 -8.997 1.976 1.515 2.532 -9.005 -9.399 -8.737 0.491 0.094 1.29 0.286 -0.045 0.372 1.017 0.794 1.311 0.225 0.204 0.239 -0.032 -0.516 0.101 -22.139 -22.204 -22.068 -23.163 -24.607 -22.419 54.405 53.597 55.122 24.53 23.733 24.9
EGS_6811 8.678 0.0 0.0 0.694 0.288 1.309 10.573 10.301 10.812 1.992 1.408 2.429 -8.571 -9.219 -8.062 2.012 1.682 2.435 -8.479 -8.864 -8.166 2.041 1.743 2.413 -8.461 -8.734 -8.216 0.527 0.238 0.987 0.208 -0.084 0.341 1.019 0.73 1.277 0.186 0.109 0.243 -0.547 -1.219 -0.181 -22.096 -22.146 -22.05 -23.864 -24.797 -23.06 55.463 54.856 55.939 25.264 24.936 25.462
EGS_26890 9.061 8.784 9.349 0.25 0.09 0.609 9.649 9.318 9.923 1.196 0.745 1.549 -8.447 -9.044 -7.887 1.277 1.006 1.566 -8.297 -8.696 -7.971 1.272 1.009 1.539 -8.308 -8.587 -8.101 0.177 0.064 0.418 0.082 -0.344 0.3 0.988 0.725 1.27 0.141 0.066 0.206 -1.098 -1.659 -0.388 -21.248 -21.345 -21.152 -21.999 -22.601 -21.518 54.741 54.328 55.091 25.303 24.993 25.484
COSMOS_47074 9.829 9.443 10.11 0.15 0.048 0.415 9.332 8.96 9.642 1.054 0.636 1.307 -8.265 -8.946 -7.728 1.039 0.804 1.3 -8.202 -8.565 -7.909 1.021 0.73 1.282 -8.257 -8.494 -8.065 0.108 0.036 0.288 0.016 -0.369 0.276 0.958 0.687 1.23 0.121 0.048 0.18 -1.156 -1.714 -0.434 -21.009 -21.126 -20.889 -21.459 -21.992 -21.122 54.597 54.211 54.892 25.372 25.021 25.551
EGS_44164 8.661 0.0 0.0 0.353 0.111 0.843 10.207 10.012 10.4 1.189 0.578 1.769 -9.0 -9.645 -8.38 1.644 1.301 2.01 -8.528 -8.929 -8.169 1.727 1.453 2.023 -8.446 -8.718 -8.188 0.311 0.101 0.707 0.176 -0.21 0.335 1.03 0.765 1.318 0.184 0.1 0.241 -1.322 -1.752 -0.722 -21.866 -21.912 -21.818 -22.807 -23.618 -22.235 54.782 54.187 55.38 25.043 24.571 25.336
EGS_26816 9.403 9.076 9.759 0.35 0.154 0.702 9.732 9.318 10.04 1.368 0.857 1.819 -8.287 -9.012 -7.67 1.384 1.08 1.721 -8.236 -8.681 -7.902 1.372 1.048 1.672 -8.278 -8.569 -8.048 0.242 0.1 0.522 0.03 -0.376 0.277 1.006 0.741 1.275 0.128 0.046 0.198 -1.131 -1.693 -0.342 -21.28 -21.411 -21.146 -22.361 -23.18 -21.703 54.926 54.421 55.403 25.353 24.995 25.544
EGS_40898 8.481 7.946 8.871 0.611 0.326 1.228 9.894 9.537 10.266 1.424 0.846 1.855 -8.48 -9.165 -7.844 1.431 1.066 1.873 -8.404 -8.827 -7.979 1.434 1.072 1.819 -8.406 -8.732 -8.126 0.444 0.203 0.945 0.055 -0.317 0.282 1.009 0.745 1.283 0.178 0.07 0.253 -0.968 -1.626 -0.343 -20.695 -20.854 -20.463 -22.452 -23.462 -21.734 54.95 54.376 55.43 25.323 24.972 25.508
COSMOS_20646 9.766 9.575 9.958 0.912 0.364 1.556 10.891 10.655 11.061 2.662 1.994 3.117 -8.244 -8.931 -7.641 2.535 2.202 2.832 -8.299 -8.741 -7.961 2.494 2.285 2.76 -8.316 -8.583 -8.117 0.675 0.37 1.011 -0.162 -0.477 0.06 0.927 0.621 1.253 0.137 0.063 0.188 -0.4 -1.1 -0.054 -22.103 -22.191 -22.014 -25.237 -26.043 -24.4 56.105 55.502 56.539 25.354 25.084 25.489
GOODSN_35589 10.957 0.0 0.0 0.051 0.018 0.158 9.147 8.906 9.407 1.311 1.167 1.469 -7.823 -8.177 -7.504 1.124 0.95 1.277 -8.01 -8.248 -7.81 1.006 0.811 1.21 -8.12 -8.271 -8.011 0.044 0.012 0.101 0.003 -0.368 0.274 0.943 0.644 1.237 0.073 0.027 0.12 -1.103 -1.691 -0.294 -21.707 -21.795 -21.624 -21.839 -22.109 -21.626 54.848 54.721 55.023 25.488 25.371 25.587
