id redshift_q50 redshift_q16 redshift_q84 AV_q50 AV_q16 AV_q84 log_stellar_mass_q50 log_stellar_mass_q16 log_stellar_mass_q84 log_sfr_10_q50 log_sfr_10_q16 log_sfr_10_q84 log_ssfr_10_q50 log_ssfr_10_q16 log_ssfr_10_q84 log_sfr_50_q50 log_sfr_50_q16 log_sfr_50_q84 log_ssfr_50_q50 log_ssfr_50_q16 log_ssfr_50_q84 log_sfr_100_q50 log_sfr_100_q16 log_sfr_100_q84 log_ssfr_100_q50 log_ssfr_100_q16 log_ssfr_100_q84 dust2_q50 dust2_q16 dust2_q84 dust_index_q50 dust_index_q16 dust_index_q84 dust1_fraction_q50 dust1_fraction_q16 dust1_fraction_q84 time_50_q50 time_50_q16 time_50_q84 logzsol_q50 logzsol_q16 logzsol_q84 mag_1500_q50 mag_1500_q16 mag_1500_q84 mag_1500_intrinsic_q50 mag_1500_intrinsic_q16 mag_1500_intrinsic_q84 log_nion_q50 log_nion_q16 log_nion_q84 log_xion_q50 log_xion_q16 log_xion_q84
EGS_68560 9.212 8.998 9.453 0.066 0.018 0.133 9.03 8.753 9.237 1.044 0.931 1.164 -7.989 -8.268 -7.634 0.965 0.887 1.062 -8.032 -8.282 -7.761 0.881 0.751 0.977 -8.1 -8.311 -8.0 0.034 0.01 0.078 -0.028 -0.456 0.253 0.959 0.68 1.222 0.054 0.024 0.103 -1.541 -1.812 -1.078 -21.471 -21.567 -21.375 -21.534 -21.764 -21.359 54.765 54.662 54.883 25.495 25.435 25.575
EGS_20381 8.525 7.947 8.855 0.663 0.34 1.297 9.849 9.52 10.189 1.637 1.336 1.991 -8.245 -8.47 -7.837 1.588 1.314 1.946 -8.264 -8.476 -7.903 1.535 1.27 1.881 -8.29 -8.488 -8.018 0.481 0.24 0.92 0.09 -0.268 0.285 0.997 0.733 1.262 0.097 0.038 0.157 -0.883 -1.568 -0.199 -21.104 -21.253 -20.902 -23.003 -23.92 -22.339 55.259 54.944 55.668 25.396 25.327 25.477
UDS_18697 9.596 9.491 9.697 1.99 1.463 2.547 11.51 11.331 11.681 2.679 2.396 3.058 -8.819 -9.023 -8.552 2.724 2.444 3.073 -8.779 -8.968 -8.541 2.771 2.501 3.089 -8.732 -8.902 -8.527 1.615 1.217 2.016 0.36 0.318 0.387 1.167 0.934 1.398 0.218 0.163 0.259 -0.059 -0.386 0.077 -22.141 -22.214 -22.064 -25.768 -26.557 -25.047 56.193 55.875 56.551 25.242 25.204 25.289
EGS_6811 8.678 0.0 0.0 1.051 0.539 1.886 10.426 10.093 10.762 2.25 1.938 2.696 -8.157 -8.453 -7.711 2.204 1.91 2.623 -8.183 -8.461 -7.81 2.14 1.857 2.516 -8.224 -8.467 -8.0 0.73 0.39 1.25 0.253 0.008 0.354 1.014 0.731 1.28 0.081 0.028 0.153 -0.515 -1.189 -0.151 -22.084 -22.128 -22.04 -24.493 -25.527 -23.729 55.836 55.496 56.299 25.368 25.326 25.474
EGS_26890 9.074 8.807 9.344 0.345 0.145 0.621 9.518 9.234 9.796 1.269 1.055 1.555 -8.244 -8.468 -7.912 1.239 1.04 1.501 -8.26 -8.469 -7.964 1.187 1.005 1.44 -8.289 -8.478 -8.048 0.219 0.097 0.483 0.104 -0.256 0.31 0.99 0.723 1.255 0.097 0.045 0.155 -1.184 -1.704 -0.404 -21.246 -21.34 -21.142 -22.159 -22.869 -21.676 54.925 54.698 55.276 25.418 25.344 25.487
COSMOS_47074 9.912 9.584 10.121 0.177 0.032 0.385 9.211 8.869 9.494 1.054 0.875 1.305 -8.154 -8.401 -7.735 0.986 0.831 1.219 -8.18 -8.408 -7.831 0.935 0.758 1.154 -8.217 -8.419 -8.0 0.117 0.039 0.293 0.048 -0.366 0.289 0.99 0.711 1.262 0.079 0.03 0.135 -1.049 -1.684 -0.338 -21.032 -21.136 -20.897 -21.547 -22.095 -21.16 54.699 54.503 54.995 25.427 25.343 25.519
EGS_44164 8.661 0.0 0.0 0.743 0.423 1.37 10.036 9.785 10.31 1.748 1.508 2.091 -8.262 -8.488 -7.966 1.728 1.497 2.059 -8.281 -8.492 -8.01 1.691 1.484 2.018 -8.303 -8.502 -8.079 0.474 0.247 0.895 0.241 -0.006 0.347 1.062 0.778 1.326 0.1 0.051 0.161 -1.358 -1.784 -0.661 -21.841 -21.891 -21.786 -23.452 -24.339 -22.863 55.461 55.183 55.85 25.429 25.356 25.492
EGS_26816 9.424 9.117 9.753 0.374 0.15 0.912 9.657 9.302 10.022 1.486 1.172 1.901 -8.182 -8.416 -7.778 1.448 1.15 1.83 -8.203 -8.424 -7.859 1.381 1.091 1.76 -8.238 -8.435 -8.003 0.331 0.145 0.76 0.115 -0.228 0.309 0.978 0.698 1.251 0.084 0.033 0.14 -1.182 -1.704 -0.385 -21.288 -21.414 -21.152 -22.677 -23.709 -21.947 55.148 54.826 55.599 25.434 25.345 25.517
EGS_40898 8.51 7.82 8.878 0.688 0.353 1.316 9.735 9.397 10.061 1.533 1.239 1.895 -8.224 -8.485 -7.809 1.472 1.199 1.812 -8.247 -8.489 -7.88 1.407 1.153 1.746 -8.272 -8.5 -8.008 0.486 0.253 0.921 0.028 -0.334 0.259 1.018 0.737 1.281 0.093 0.036 0.163 -0.86 -1.542 -0.197 -20.68 -20.859 -20.418 -22.722 -23.556 -22.08 55.153 54.848 55.528 25.395 25.329 25.489
COSMOS_20646 9.761 9.607 9.907 0.934 0.626 1.63 10.857 10.678 11.122 2.594 2.384 2.889 -8.29 -8.479 -8.033 2.573 2.377 2.854 -8.306 -8.472 -8.064 2.539 2.364 2.801 -8.326 -8.474 -8.117 0.673 0.473 1.063 -0.192 -0.372 -0.014 0.992 0.727 1.262 0.107 0.059 0.151 -0.492 -1.118 -0.003 -22.109 -22.193 -22.019 -25.344 -26.108 -24.899 56.149 55.943 56.483 25.353 25.313 25.414
GOODSN_35589 10.957 0.0 0.0 0.084 0.026 0.196 9.149 8.81 9.394 1.206 1.082 1.359 -7.947 -8.254 -7.498 1.119 1.0 1.227 -7.993 -8.272 -7.704 1.027 0.81 1.15 -8.071 -8.293 -8.0 0.051 0.018 0.113 -0.005 -0.449 0.25 0.911 0.628 1.183 0.049 0.017 0.098 -1.286 -1.739 -0.513 -21.722 -21.799 -21.631 -21.868 -22.153 -21.648 54.874 54.76 55.031 25.481 25.4 25.572
