# id  ra  dec  z  z_err_low  z_err_upp  F150W  F150W_err_low  F150W_err_upp  F200W  F200W_err_low  F200W_err_upp  F356W  F356W_err_low  F356W_err_upp  F410M  F410M_err_low  F410M_err_upp  Reference
EGSI-9136950177  214.807042  52.838250  5.53  0.13  0.02   24.81  0.01  0.01   24.86  0.01  0.01   24.53  0.01  0.01   24.18  0.01  0.01   Bouwens2015
EGSZ-9314453285  214.881000  52.891250  6.27  0.35  0.15   26.54  0.04  0.04   26.39  0.02  0.02   25.53  0.01  0.01   26.77  0.08  0.09   Bouwens2015
EGSZ-9338153359  214.890875  52.893306  6.31  0.17  0.12   26.30  0.05  0.05   26.12  0.03  0.03   25.44  0.01  0.01   26.20  0.07  0.07   Bouwens2015
EGSI-9179549499  214.824887  52.830492  6.45  0.38  0.17   25.87  0.04  0.04   25.94  0.03  0.03   25.40  0.02  0.02   25.95  0.05  0.06   Bouwens2015
EGSZ-9271353221  214.863042  52.889472  6.54  0.11  1.33   26.10  0.03  0.03   25.99  0.02  0.02   25.36  0.02  0.02   26.27  0.08  0.08   Bouwens2015
EGSZ-9419055074  214.924583  52.918722  6.66  0.01  0.01   25.99  0.04  0.04   25.76  0.02  0.03   24.37  0.01  0.01   25.27  0.02  0.02   Bouwens2015
EGSZ-9350655307  214.896083  52.925194  6.68  0.04  0.02   25.80  0.03  0.03   26.03  0.02  0.02   25.13  0.01  0.01   25.49  0.03  0.03   Bouwens2015
EGSZ-9135048459  214.806250  52.812750  6.74  0.01  0.01   26.51  0.03  0.03   26.61  0.03  0.03   25.58  0.01  0.01   25.59  0.02  0.02   Bouwens2015
EGSI-0020500266  215.008524  53.007337  6.79  0.06  0.09   26.87  0.04  0.04   27.22  0.05  0.05   27.12  0.04  0.04   27.24  0.09  0.10   Bouwens2015
EGSZ-9262051131  214.859178  52.853618  7.17  0.09  0.16   26.21  0.05  0.05   26.16  0.04  0.04   26.09  0.03  0.03   25.11  0.02  0.02   Bouwens2015
EGSY-9587400281  214.994750  53.007806  7.44  0.34  0.09   25.68  0.02  0.02   25.87  0.02  0.02   25.41  0.01  0.01   24.88  0.02  0.02   Bouwens2015
EGSY-9105550297  214.793958  52.841583  7.60  0.06  0.02   26.15  0.03  0.03   26.07  0.02  0.02   25.88  0.02  0.02   25.04  0.02  0.02   Bouwens2015
